x,y,fitness,x position,y velocity,model
61,68,-47.959823175264745,0.33,-0.96,"[-0.12154054  0.24994485 -0.20725705  0.06425015 -0.47031403 -0.02211693
  0.02089179 -0.01379049  0.17550081 -0.48875832  0.48578033 -0.02615536
 -0.72667761 -0.17892913 -0.47692507 -0.41165122 -0.23793634 -0.20647457
 -0.2593704  -0.46477603 -0.20004938 -0.39610501  0.29220118  0.1321673
  0.11170231 -0.02575606 -0.3391674   0.04336873  0.36230264 -0.10880953
  0.03313841 -0.09204453]"
50,99,265.52156963421874,0.0,-0.03,"[-0.21795642 -0.19701537  0.72576077 -0.14305543 -0.19274851 -0.29705437
  0.23736306  0.01297536 -0.05605258  0.40042546  0.2580758   0.18978267
 -0.32007066 -0.27322779 -0.21692575 -0.08411369  0.24038437 -0.1090098
  0.24765134 -0.33161617 -0.0954801   0.32251387 -0.05464721  0.1861932
  0.17635615  0.23772322 -0.31357506  0.20473803  0.33324495  0.30717608
  0.50246966 -0.31147541]"
57,40,-111.03454574276427,0.21,-1.8,"[ 0.33138894  0.20996276  0.33735874 -0.09092368 -0.2805533   0.82597246
  0.51860273 -0.53879151  0.05248607  0.38367248 -0.13025242  0.07981558
 -0.10115472 -0.56430337 -0.37292244  0.5243931   0.17275349  0.10365705
  0.30046913 -0.09197858  0.80477569 -0.08767975 -0.12113214  0.77436511
 -0.03535935 -0.29759857 -0.05219372 -0.14773107  0.89357099 -0.08707559
  0.00145718  0.29858241]"
55,40,-100.06302902389285,0.15,-1.8,"[ 0.55998602 -0.18023216 -0.10979983 -0.1334156  -0.52116269  0.18741081
  0.20154571 -0.18691372 -0.07449029  0.04197975  0.31158015 -0.05076928
 -0.3276144  -0.30981641 -0.19219545  0.34913416  0.04674718 -0.11675147
  0.4797777  -0.04302777  0.59440984  0.49628843 -0.33952107  0.75403439
 -0.37447623  0.00646838 -0.46748126 -0.13857376  0.73380309 -0.10704895
  0.22708218 -0.22142543]"
58,39,-118.10203311529202,0.24,-1.83,"[-0.08443098  0.18804367  0.03841491  0.09044737  0.20706002  0.03675431
  0.02562627  0.01210126 -0.00463239 -0.05514216  0.07560805 -0.1169987
 -0.03990727 -0.12930448 -0.10311604  0.0234225   0.13321147 -0.01668063
 -0.02588605 -0.05240572 -0.05484959 -0.09210292  0.04594193  0.08611064
  0.08110945  0.00252529  0.10320812 -0.03738956 -0.19725775 -0.02654767
  0.0288236   0.13265169]"
60,42,-120.05963815071176,0.3,-1.74,"[ 0.40060967 -0.32136176  0.39930433 -0.02033558  0.20840623 -0.03363635
 -0.51133908  0.73817999  0.16953101 -0.11625669  0.20705651  0.05028354
 -0.12286459  0.03964923 -0.00369645  0.13711824 -0.39879157 -0.09484399
 -0.26010328 -0.31297297  0.01269184 -0.23621673 -0.13744955  0.22600238
  0.03261691  0.16353815 -0.04929235  0.06650032  0.18815108  0.34111075
 -0.00765108  0.2882809 ]"
61,51,-30.95294726966054,0.33,-1.47,"[ 0.01253613  0.29779202 -0.23742504  0.18061937 -0.22424741 -0.07758875
  0.13626821  0.00402072  0.05798568 -0.4170447   0.46893015  0.0602458
 -0.72486752 -0.01596633 -0.45097512 -0.32206044  0.07808998 -0.13329782
 -0.28253673 -0.30154387 -0.32730566 -0.52297231  0.23528645  0.08518762
  0.04146607 -0.10903368 -0.29894618  0.10943367  0.40836744 -0.11321538
  0.03698329 -0.0774278 ]"
60,41,-126.26107834178906,0.3,-1.77,"[-5.58161183e-02  1.41391223e-02 -7.21851204e-02 -1.69150712e-02
 -1.39978521e-02 -1.38750728e-02 -4.22933648e-02  2.88169365e-02
 -5.40055493e-02  6.07623130e-02 -1.90242560e-02  6.83399379e-03
 -6.69169125e-02 -7.24998520e-02 -3.33647979e-02 -2.41738194e-02
 -7.87265070e-02 -7.45969351e-02 -4.90456515e-03  8.53725679e-03
 -5.11474865e-03 -3.12567984e-02  5.09852984e-02 -5.46149064e-02
  8.66849831e-03  1.01984011e-01  2.42266980e-03 -1.65974297e-02
 -1.53797824e-03  6.31626421e-05  1.33566367e-02  6.02603415e-02]"
69,56,-101.08324693358814,0.57,-1.32,"[ 0.15671015  0.10133771 -0.28760298  0.12441037 -0.43026117 -0.1035829
  0.13084909 -0.16558397  0.21440519 -0.46173277  0.38427181 -0.07291896
 -0.56549885  0.04564372 -0.5178179  -0.29876186 -0.261489   -0.05525886
 -0.18657777 -0.50729348 -0.44529062 -0.17817403  0.00470621  0.19155384
  0.01494562 -0.09251765 -0.35589148 -0.06601413  0.28855578 -0.06486545
 -0.00576257 -0.01447483]"
58,38,-117.55702523339022,0.24,-1.86,"[ 0.06358295  0.06621467  0.04981495 -0.06557454 -0.0247467  -0.06350921
  0.0060199   0.04361666  0.01563736  0.06748353 -0.04229146 -0.09881997
 -0.03574579 -0.01860683 -0.01633363  0.01801341  0.06958432  0.009178
 -0.02277335  0.01894666 -0.01932906 -0.12116013  0.00254424  0.03638558
 -0.02424119  0.05028695 -0.01649542 -0.03343289 -0.022131   -0.01806336
 -0.02473485 -0.03386048]"
