x,y,fitness
54,39,-117.52778317848595
59,43,-222.95997096115553
50,99,-164.7048191157915
54,43,-108.15057620187213
54,40,-68.40477473496023
54,56,-105.21727901640124
54,44,-107.07798071654938
44,58,-261.9766560289562
52,98,-337.74340471166886
48,50,-224.76485502227555
54,38,-117.55702523339022
53,39,-116.24665315749674
55,95,-382.1424611353262
51,99,-282.29483211786595
52,64,-89.82520642635947
55,44,-128.25197684561007
64,89,-178.88142082580939
57,77,-118.03379716327701
53,37,-240.42496162998503
52,86,-312.1782328618905
65,66,-244.8533447705818
54,36,-266.8174515387075
57,62,-94.27044364348633
63,65,-188.63661172440476
53,42,-114.92612896311728
54,42,-111.44135799327191
58,68,-141.99354263162684
56,39,-195.1403014967823
54,61,-62.517890014852505
52,99,-339.58045693005243
58,39,-380.6787382106244
55,89,-387.645284965701
64,87,-483.03532192510147
55,40,-271.2177224491207
56,41,-165.3004745760416
50,50,-245.68382716117935
46,97,-393.2110213892931
50,49,10.483691498489492
52,39,-236.03493998767036
65,59,-280.04101094059075
52,37,-246.9866236527732
61,82,-184.84525177636942
49,59,-285.07416350664244
55,94,-401.34989827988136
53,54,-27.56566313311727
51,66,-80.03912761987164
56,43,-215.20185106164035
53,44,-55.17695219735851
53,46,-129.74975043486273
54,54,-99.31695901814454
50,63,27.21532457398243
53,47,-84.14982545898602
52,44,-43.696009985238746
50,60,-309.4804024144614
52,94,-326.3877318766905
54,47,-111.51922418851291
55,39,-296.4572845566123
53,41,-115.98473948162548
54,37,-147.8124386132939
55,34,-344.76086290106304
51,85,-297.2570759721175
55,62,-103.09700202985931
55,55,-110.64602949737173
57,36,-317.8147344183201
44,98,-289.48233856983
52,56,-205.01497530277337
57,58,-148.5729615651407
53,40,-123.68067175941421
55,84,-158.60756235993478
54,41,-133.8720992622686
56,90,-395.10121934947927
55,33,-353.6557866924802
55,42,-125.82710306809265
55,43,-105.5205916232594
55,58,-81.9192017346775
62,69,148.5104127243738
50,56,-222.61343877930352
54,51,-83.73721264018343
55,35,-328.83192829317306
52,68,-33.924506332217746
56,69,-97.47314471716749
54,52,-101.00375703233415
52,43,-189.3365829756952
55,68,-40.82495596988329
50,65,-264.6387323640063
52,50,-171.22096390253293
49,90,-347.58188370189947
66,44,-393.05194773067745
52,93,-259.75140653692586
52,45,-34.07192677991898
52,46,11.020847414082027
53,38,-121.85684338980857
51,56,-169.47344627773464
49,70,-372.3484443206276
56,40,-366.01903347048955
57,59,-157.64581408750666
54,50,-90.5252420321284
60,55,-214.07569355252895
61,73,-161.4722860996615
54,60,-106.37878006046658
59,66,-132.6781358877299
55,56,-99.89193693538114
51,62,-251.52429506608576
55,37,-315.0640909659123
55,63,-83.3866394210773
56,60,-92.27729515698944
63,63,-240.17463624016432
52,42,-224.978232688987
56,67,-91.0375351290819
55,48,-154.17082134587997
53,64,-62.805634667304375
47,94,-313.48272048478077
54,49,-115.37853605958107
53,43,-124.09911404577174
52,57,-20.41104594772574
52,41,-255.1150999179243
45,99,-393.233637331266
57,69,-118.94022889335588
54,78,-31.95600672215309
56,73,-99.61096966033779
52,62,-169.52193620738774
