x,y,fitness
100,100,-16.550339318048636
117,35,-233.42318872072494
104,45,-141.7932535968498
107,39,-115.37195251568731
120,29,-516.718210025849
110,89,-22.0732237107878
108,38,-117.45955671709353
106,46,-127.8512432643803
107,40,-64.73261713582392
108,39,-118.12204354754496
109,37,-123.72834358216559
114,92,-14.807520162017994
106,43,-34.066888375998246
113,70,-85.25061767154347
127,61,-410.30152916670255
112,78,-62.71758143334985
115,46,-145.02611426061196
105,99,-298.71563513529156
105,59,-11.821123443806457
112,40,-191.2419902242712
104,44,-125.94804109698224
106,40,24.00894191833234
108,37,-159.31700721645439
112,46,-151.1146487538494
105,40,-202.8119600657102
113,54,-89.68710820674256
112,41,-148.2760387951078
82,51,-159.6692425325024
116,57,-115.4398554350259
110,41,-100.17132777065538
111,44,-126.89242371498257
109,41,-113.41862499000952
107,42,-109.79953703210666
99,78,6.224575180130799
111,87,-377.7305119295302
112,92,-394.3686122134407
100,99,-320.48630412863906
104,74,26.48446964127885
105,88,28.19780718802147
111,80,-16.977260119875282
109,40,-110.07951833228461
109,39,-109.5699638593359
109,44,-114.26214053500028
109,55,-32.73755631017545
105,43,-16.395409042043767
105,36,-247.80271763268004
107,41,-12.626449648772677
108,40,-114.5279568489941
118,53,-90.7574127207722
110,44,-125.70702151266237
107,48,-95.60610012134397
106,38,-77.89473572064128
109,50,-98.09550909760299
108,45,-101.47922646403298
110,45,-112.01226404698924
106,42,13.653089009025052
104,55,13.008127509785453
96,99,-349.21722524176937
108,43,-107.37191899861459
110,38,-135.45314933541843
108,44,-102.88837665338984
106,39,-11.503389855282293
111,56,-87.63688985307877
109,51,-92.51652337327766
109,66,-54.66428061120523
109,36,-266.8174515387075
87,81,-450.6471452339668
105,49,-34.759233662877946
108,47,-93.45309765476594
99,64,-31.593814955443804
108,51,-84.48693453143976
114,62,-98.8887814947088
111,62,-75.79181493226015
107,58,-77.78176103928726
111,95,216.8113065603925
112,90,-49.233708131232945
111,43,-79.34340608616208
88,63,-159.5242437028691
113,66,-84.45272001166629
104,96,6.0177808063881315
103,94,-30.999838566166787
112,66,-76.25650309701263
108,52,-86.04980406693164
