x,y,fitness,x position,y velocity,model
61,68,-62.51855112548157,0.33,-0.96,"[ 0.09673553  0.08251203 -0.05395448  0.02890408 -0.02035868 -0.03814833
 -0.08150827  0.14932517  0.10644803 -0.03740485  0.12040857  0.00063116
 -0.01021617 -0.00115341 -0.06251144 -0.02215476 -0.02104167 -0.10518425
 -0.10712644 -0.16631526  0.01879231 -0.00630798  0.00463514  0.06815531
  0.11110629 -0.0192383  -0.09970147  0.06861578  0.09741206  0.26413828
 -0.06325393  0.02947099]"
50,99,-20.662119952597365,0.0,-0.03,"[-0.02895517  0.05383732  0.06161159  0.15348738  0.04164783 -0.00715953
  0.00673552  0.03053722  0.01401595  0.01257966  0.08281692  0.03872733
 -0.0456904   0.00458121 -0.04866345  0.10780907 -0.0353732   0.04979358
 -0.12101146 -0.05416562 -0.02241637  0.00714074 -0.00471407 -0.05454682
 -0.03537755  0.06586555 -0.01821619  0.10167603  0.1755025   0.005787
 -0.04789051 -0.06543798]"
57,40,-115.18672565809302,0.21,-1.8,"[-0.0602106   0.04029399 -0.07723131  0.24771316 -0.19090716  0.0587337
 -0.01215718 -0.17833192 -0.05180012  0.18379984  0.10581928 -0.02191876
 -0.12119505 -0.1154545  -0.06589785 -0.13875655  0.24941634 -0.07419817
 -0.09483605 -0.05690289  0.04559662  0.11030411 -0.01732257  0.10150031
 -0.00078234 -0.00795621 -0.10077995 -0.14175319  0.08222646  0.12515359
 -0.05420627 -0.09506783]"
55,40,-190.07887449662064,0.15,-1.8,"[-0.02089794 -0.01305146  0.10597661  0.03861723 -0.00058014 -0.0579202
  0.08849028  0.06747548 -0.03414257  0.06469284 -0.04205979  0.0708584
 -0.06180071  0.02574585  0.04806834 -0.04237517  0.01763032 -0.04232237
 -0.0026494  -0.02825639 -0.12815169 -0.03629369  0.04514867 -0.11448963
  0.0126393   0.03589094 -0.18825611  0.05410056  0.0006142   0.05821863
  0.04836646  0.03993288]"
58,39,-118.10203311529202,0.24,-1.83,"[-0.08443098  0.18804367  0.03841491  0.09044737  0.20706002  0.03675431
  0.02562627  0.01210126 -0.00463239 -0.05514216  0.07560805 -0.1169987
 -0.03990727 -0.12930448 -0.10311604  0.0234225   0.13321147 -0.01668063
 -0.02588605 -0.05240572 -0.05484959 -0.09210292  0.04594193  0.08611064
  0.08110945  0.00252529  0.10320812 -0.03738956 -0.19725775 -0.02654767
  0.0288236   0.13265169]"
60,42,-130.15852751213657,0.3,-1.74,"[-0.00133104  0.00355834  0.06330997  0.09007759 -0.01873425  0.09508599
 -0.03254991  0.00435626  0.05098009 -0.0399287   0.06561241 -0.03648029
 -0.04525728  0.01020439 -0.02556492 -0.04701817 -0.02452109 -0.0071845
  0.0094138   0.09490098 -0.02691284  0.0550655  -0.03392685 -0.03293466
  0.02041668  0.00907054  0.10483387 -0.0161877   0.06150204  0.01048613
 -0.01284301 -0.01028105]"
61,51,-130.32193615297723,0.33,-1.47,"[ 0.25185477 -0.01062676  0.22186446  0.07066589 -0.02339724  0.02159591
  0.03034401 -0.07222857 -0.03566462 -0.06374331 -0.01791095  0.10996143
 -0.1704078  -0.08081232  0.081761   -0.06494846 -0.11772464 -0.03211297
  0.14019674 -0.04673017 -0.04596263  0.10162735 -0.0887924   0.03858503
  0.05557527 -0.09509506  0.07692209  0.07033302  0.08340402  0.04712185
  0.05606422 -0.02111143]"
60,41,-126.26107834178906,0.3,-1.77,"[-5.58161183e-02  1.41391223e-02 -7.21851204e-02 -1.69150712e-02
 -1.39978521e-02 -1.38750728e-02 -4.22933648e-02  2.88169365e-02
 -5.40055493e-02  6.07623130e-02 -1.90242560e-02  6.83399379e-03
 -6.69169125e-02 -7.24998520e-02 -3.33647979e-02 -2.41738194e-02
 -7.87265070e-02 -7.45969351e-02 -4.90456515e-03  8.53725679e-03
 -5.11474865e-03 -3.12567984e-02  5.09852984e-02 -5.46149064e-02
  8.66849831e-03  1.01984011e-01  2.42266980e-03 -1.65974297e-02
 -1.53797824e-03  6.31626421e-05  1.33566367e-02  6.02603415e-02]"
69,56,-425.2397717703271,0.57,-1.32,"[ 0.04221398  0.04507603  0.02565343 -0.03129716  0.05620529  0.12586165
 -0.10344956 -0.02790929 -0.0094318   0.03067182 -0.01043731 -0.04093168
 -0.01333547  0.01813941 -0.02456133 -0.05712188  0.01358775  0.03046918
 -0.0740745  -0.0784983  -0.02561183  0.00526265  0.08669295 -0.01153399
  0.03424447  0.02169928  0.05534514 -0.03853524  0.06514588  0.01238741
  0.02188138 -0.04555511]"
58,38,-117.55702523339022,0.24,-1.86,"[ 0.06358295  0.06621467  0.04981495 -0.06557454 -0.0247467  -0.06350921
  0.0060199   0.04361666  0.01563736  0.06748353 -0.04229146 -0.09881997
 -0.03574579 -0.01860683 -0.01633363  0.01801341  0.06958432  0.009178
 -0.02277335  0.01894666 -0.01932906 -0.12116013  0.00254424  0.03638558
 -0.02424119  0.05028695 -0.01649542 -0.03343289 -0.022131   -0.01806336
 -0.02473485 -0.03386048]"
58,37,-159.31700721645439,0.24,-1.89,"[-0.02195174  0.20589928  0.04073753  0.08984401  0.00960462  0.03096176
 -0.01680275 -0.08421913 -0.11097352  0.01449152 -0.0107732   0.08074851
 -0.0740039   0.00590661 -0.1031193  -0.15680861  0.03965827 -0.06173976
 -0.01138645  0.06965553 -0.03839878 -0.01038478  0.04850305  0.03198346
  0.00522468  0.01419108 -0.05204078  0.06191401 -0.1186348  -0.02854885
 -0.10079973  0.01231046]"
57,39,-117.40539242620609,0.21,-1.83,"[ 0.04875957  0.0553112  -0.00651122 -0.03546311  0.09157915  0.01118856
 -0.00986767  0.12074202  0.02095555 -0.07028348 -0.11258517 -0.12999672
  0.02509699  0.01953016 -0.05211001 -0.00945245 -0.02943045  0.00260702
  0.01147026 -0.05658595 -0.00165278  0.07665142 -0.01677001  0.11562267
 -0.03476762  0.01424377  0.10967038  0.14299739 -0.02302793 -0.01695664
  0.00795798  0.04352116]"
54,47,22.519631317861666,0.12,-1.59,"[-0.18190896 -0.11105495 -0.02345782 -0.04108965 -0.01064018 -0.12120948
  0.06589008  0.14093472 -0.0845615   0.02386413  0.03034441  0.07983349
 -0.12792969 -0.00859307  0.07093933  0.08798789 -0.01547278 -0.07018401
  0.12389517 -0.07791486  0.01919491  0.07626002 -0.01815887 -0.09609995
 -0.05526264 -0.00614346 -0.06925509  0.05272012  0.03506028 -0.01815434
  0.01490792  0.01537409]"
65,74,-106.31188893701119,0.45,-0.78,"[-0.57363809  0.47247039 -0.01365926  0.03147696 -0.26992267 -0.26383611
 -0.04697112 -0.25029634 -0.15487802  0.34325319  0.36942388  0.2474444
  0.10208764 -0.55594482  0.13206606  0.15920408 -0.21463467 -0.03150067
 -0.40860511 -0.51911965 -0.00760424  0.49994805 -0.34325575 -0.29646703
  0.15618295  0.27614697 -0.35499566  0.47536592 -0.23685436  0.32722052
  0.33570786 -0.24466977]"
56,43,-122.69523553603216,0.18,-1.71,"[-0.08545369 -0.00201408  0.01706456  0.06955835 -0.01518453  0.00773406
  0.04568169 -0.09945974  0.033476    0.03188399 -0.03336348  0.04889934
 -0.02161554 -0.03902899 -0.10907131 -0.01511386 -0.05089422 -0.05910198
  0.038532    0.00074724 -0.0703415   0.03625833  0.03075042  0.16812729
 -0.08580736 -0.04269996  0.0243145   0.00928973  0.02988257  0.00432407
  0.02907294  0.00964559]"
57,88,26.168470250717547,0.21,-0.36,"[ 1.53481799e-01 -7.72627029e-02 -6.23896606e-02  2.46303410e-01
 -2.30890383e-02 -4.40774686e-01  1.19996303e-01 -1.83213433e-01
  5.96375191e-02  4.27716286e-05  3.00998271e-01  1.01620674e-01
 -7.58597438e-02 -1.03203909e-01 -3.81951314e-02  3.25517789e-01
 -1.67101758e-01 -2.34098231e-01 -3.72921860e-01 -4.60055565e-01
  6.24038573e-01 -3.20654265e-01  2.03670811e-01 -7.59517285e-02
  4.92111752e-02  1.06625916e-01 -1.67931230e-01  8.93463532e-02
  3.01303731e-01  7.82588125e-02  2.24306329e-02 -1.04448535e-01]"
47,87,232.03235391998163,-0.09,-0.39,"[ 0.07346607 -0.03782412  0.05072675  0.05629406 -0.02695205 -0.04132731
  0.02256935  0.04498557 -0.04656168  0.05247873  0.01897981  0.10396426
  0.00613823  0.04379402 -0.03697629 -0.17473651  0.03385366 -0.0205964
 -0.00797695 -0.11727693 -0.00252388  0.02641572  0.07025829  0.01906208
  0.05198743  0.02852638 -0.15127319  0.03149699  0.05192743 -0.03509333
 -0.00942332  0.00582504]"
61,95,-370.1805238023016,0.33,-0.15,"[ 0.04188868 -0.06094471  0.02747038  0.01581796 -0.02837912 -0.08694624
  0.05743611  0.00163739  0.01304188 -0.0346043   0.05570795  0.02197463
  0.04035398 -0.02771585 -0.02392957 -0.04677439 -0.00659634  0.01692018
 -0.04333661  0.06773457 -0.0437828  -0.03726841  0.01007935 -0.02181347
 -0.03344876  0.0437661  -0.0546939  -0.05540857  0.03348579  0.04550271
 -0.01444211 -0.04532207]"
