x,y,fitness,x position,y velocity,model
50,99,-13.878358666578034,0.0,-0.03,"[-0.52391821 -1.8258715   4.2032782   0.79222873 -2.0932116   2.46941452
  2.10303375 -0.00514363  2.9722032  -0.82146327  2.46695754 -1.05048224
 -3.91567268  1.84106517  1.09195646  0.65637208 -0.08967189 -1.21688192
  0.86955366 -3.981731   -0.57734454  2.32081976 -0.54801662  2.58423629
  1.29963549 -0.73942348 -0.91718266  1.33757714 -1.03671447  1.657065
  0.82142716  2.34460529]"
56,40,-3.5993296211591996,0.18,-1.8,"[-0.65679246  1.69158896  1.01245452  2.76278806 -1.52357563  0.95781966
 -1.08637402 -1.59364337 -2.43424686 -1.01562376  0.77533914 -1.75075832
 -0.99481101 -2.98963104 -1.86965033  3.448985   -1.02802355 -1.43747995
 -1.349229   -0.24129586  0.39034901 -0.54262945  0.35600295  2.09023334
  0.32199373 -1.08692803 -2.82062013  0.92776065  2.68737098  0.61201223
  0.17771998  0.4392223 ]"
58,38,-117.53931275792218,0.24,-1.86,"[-0.07522154  0.07177565  0.99272408  0.05210361 -1.07245721  2.67053619
  3.32776227 -0.6976529  -0.93775021 -2.33533413  0.27915979 -1.33923394
 -1.29337132 -2.71549907  1.58502867 -1.18661449 -2.69050044  0.51078953
 -1.44560015 -0.52561754  1.72782994  0.45637127  4.80216838  2.62307741
  0.39881659 -0.59247999  1.23006399  4.32569907 -3.67288291  0.89078324
  0.31486294  0.73544469]"
66,89,-41.075745941615764,0.48,-0.33,"[-0.32400361  1.56372567 -0.08705863  1.37817843  1.52011222  2.07446253
 -1.16792152 -0.5949203   1.71372594  1.32783746  0.87244553  0.81967696
  0.92451356  0.62590099 -0.45377932  0.61508594  0.3404903   0.14392786
  1.83030549 -1.66728909 -1.3682943   0.20336797  1.44294262 -3.47120328
  0.57848404  1.28781009 -0.3692262  -0.84368368  1.36731557  1.40260288
 -2.20907272 -1.61124482]"
47,61,-147.46342333955653,-0.09,-1.17,"[ 0.87721987 -0.40316652 -0.86436379  1.04489688  2.95264601 -0.94938457
 -1.2860174  -1.18601617 -0.03586715  2.0587292   2.41612845  0.03006191
 -1.45298355  2.90996122 -2.27622626 -0.49962781  1.36522552 -1.52133964
  0.88648321 -3.63068563  0.11780678  3.13994506  2.00963078 -3.17089341
 -0.57716264  2.72575122 -3.28409911  0.5879775   0.54847359  2.90452223
 -0.19224335 -0.88492146]"
59,36,-268.73210968939645,0.27,-1.92,"[ 0.25927752  2.72375317 -0.06052785  0.3577979   1.0492126   1.14259707
 -0.89146071  0.49731956  2.54177677 -0.7070576   1.17612664 -1.96963414
  0.38997544 -1.2993559  -1.24005563  0.16782763  2.16665119 -1.98663289
 -0.26967677 -0.32379972  0.0228921   3.11697305 -1.21548841 -0.01285104
  3.26009906 -1.39823358  3.28634767 -1.66665793 -0.44904099 -1.48397178
 -1.30660972  3.47697182]"
56,37,-218.1208750545901,0.18,-1.89,"[ 0.68931138  2.94520734  0.28905782  2.80963756  0.57122758  3.67348323
  0.55708257  0.19567717  0.40606274  0.81696081  0.78217159 -1.54117835
  0.45818402 -2.31981061  0.32571657  0.77122499  2.41807113 -3.35805951
 -3.41048671 -1.72529175 -3.38144721 -0.31277151  3.92001468  3.61845081
  1.29475223 -1.13573186  1.43469104  3.21610681 -3.10525894  1.36055829
 -0.47065076 -0.79925731]"
60,38,-147.3462101362764,0.3,-1.86,"[ 1.97129698  1.53448598  0.27052918  0.76733093 -0.83816393  2.09883313
 -0.59772318 -0.77249872 -1.38815838 -0.54127242 -2.22057221 -0.64994462
 -0.02288215 -1.73413931 -1.41444028  0.60599758 -1.95393294  2.15125369
 -1.83418279 -0.38495292  0.53697825  0.80833512 -0.67747116  1.14580915
 -1.34901655  1.21878752 -2.11954931  1.39075279 -0.4246688  -2.01101215
  2.3686079  -2.08176608]"
78,30,-1424.3243131219017,0.84,-2.1,"[-0.28476145  0.11537261 -1.41504122 -0.37753572  0.32854623 -0.05228728
  1.8310988   0.17637966 -0.43139675 -0.67263123  0.31590984 -0.41743637
 -0.92481976  0.37064827 -2.2687476  -0.25205479 -1.63956301  1.33355159
 -1.69246552 -1.02651672 -0.38864306  1.60697223  0.02720072 -1.64600216
 -0.15267849 -0.73732862  1.66437048 -0.18614804 -1.24281126 -0.88513573
 -1.4331761   0.08988108]"
55,40,-193.68207325189803,0.15,-1.8,"[-1.5221205  -0.64337155  1.00168752 -4.85653329 -3.00676538 -0.06019299
  0.50272153 -0.21935194 -3.26368136  1.51526302 -1.33826423 -1.17179641
  0.62913671 -1.58004838 -1.26189003 -0.31479393 -0.19741187 -0.12821183
  0.14387413 -0.64063986  0.22593907  2.24013485  0.28077352  0.43378953
 -1.62127868 -0.78105411 -0.15276652 -0.82394958  2.99476995  0.85213313
 -1.62553203  0.91547643]"
